season,week,celebrity_name,judge_score,fan_vote_est,industry,is_elim_rank,is_elim_pct,is_elim_save,save_prob_context
1,2,Evander Holyfield,4.666666666666667,2.3045685279187818,Athlete,1,1,0,0.5483870967741935
1,2,Joey McIntyre,7.0,2.94010152284264,Singer/Rapper,0,0,0,0.5483870967741935
1,2,John O'Hurley,8.666666666666666,3.57258883248731,Actor/Actress,0,0,0,0.5483870967741935
1,2,Kelly Monaco,5.666666666666667,2.986802030456853,Actor/Actress,0,0,1,0.5483870967741935
1,2,Rachel Hunter,8.0,3.536040609137056,Model,0,0,0,0.5483870967741935
1,2,Trista Sutter,6.333333333333333,5.659898477157361,TV Personality,0,0,0,0.5483870967741935
1,3,Evander Holyfield,4.333333333333333,4.274094969440527,Athlete,0,0,0,0.5116279069767442
1,3,Joey McIntyre,7.333333333333333,2.687823225199812,Singer/Rapper,0,0,1,0.5116279069767442
1,3,John O'Hurley,8.0,2.92994828396803,Actor/Actress,0,0,0,0.5116279069767442
1,3,Kelly Monaco,7.0,2.143394452280207,Actor/Actress,1,1,0,0.5116279069767442
1,3,Rachel Hunter,8.666666666666666,2.9647390691114244,Model,0,0,0,0.5116279069767442
1,4,Joey McIntyre,6.666666666666667,1.521072796934866,Singer/Rapper,1,1,1,0.5121951219512195
1,4,John O'Hurley,7.0,2.260536398467433,Actor/Actress,0,0,0,0.5121951219512195
1,4,Kelly Monaco,8.666666666666666,2.218390804597701,Actor/Actress,0,0,0,0.5121951219512195
1,4,Rachel Hunter,8.333333333333334,4.0,Model,0,0,0,0.5121951219512195
2,1,Drew Lachey,8.0,5.376722817764166,Singer/Rapper,0,0,0,0.6
2,1,George Hamilton,6.0,4.576569678407351,Actor/Actress,0,0,1,0.6
2,1,Giselle Fernandez,7.666666666666667,5.310872894333844,News Anchor,0,0,0,0.6
2,1,Jerry Rice,7.0,5.318529862174579,Athlete,0,0,0,0.6
2,1,Kenny Mayne,4.333333333333333,8.83154670750383,Sports Broadcaster,0,0,0,0.6
2,1,Lisa Rinna,6.333333333333333,4.994640122511486,Actor/Actress,0,0,0,0.6
2,1,Master P,4.0,4.48238897396631,Singer/Rapper,1,1,0,0.6
2,1,Stacy Keibler,7.333333333333333,5.367534456355283,Athlete,0,0,0,0.6
2,1,Tatum O'Neal,7.666666666666667,5.337672281776417,Actor/Actress,0,0,0,0.6
2,1,Tia Carrere,6.666666666666667,5.403522205206738,Actor/Actress,0,0,0,0.6
2,2,Drew Lachey,9.0,4.861878453038674,Singer/Rapper,0,0,0,0.5555555555555556
2,2,George Hamilton,7.333333333333333,4.861878453038674,Actor/Actress,0,0,0,0.5555555555555556
2,2,Giselle Fernandez,8.0,4.892955801104972,News Anchor,0,0,0,0.5555555555555556
