season,week,celebrity_name,results,placement,celebrity_industry,ballroom_partner,celebrity_age_during_season,score,elim_week,is_withdrew,industry_encoded,judge_score_share,weekly_rank,gender,est_fan_vote,certainty
1,1,Evander Holyfield,Eliminated Week 3,5,Athlete,Edyta Sliwinska,42,6.0,3,0,1,0.16513761467889906,4.0,,,
1,1,Joey McIntyre,3rd Place,3,Singer/Rapper,Ashly DelGrosso,32,6.666666666666667,99,0,2,0.18348623853211007,1.0,,,
1,1,John O'Hurley,2nd Place,2,Actor/Actress,Charlotte Jorgensen,50,6.666666666666667,99,0,2,0.18348623853211007,1.0,,,
1,1,Kelly Monaco,1st Place,1,Actor/Actress,Alec Mazo,29,4.333333333333333,99,0,2,0.11926605504587154,6.0,,,
1,1,Rachel Hunter,Eliminated Week 4,4,Model,Jonathan Roberts,35,6.666666666666667,4,0,2,0.18348623853211007,1.0,,,
1,1,Trista Sutter,Eliminated Week 2,6,TV Personality,Louis van Amstel,32,6.0,2,0,3,0.16513761467889906,4.0,,,
1,2,Evander Holyfield,Eliminated Week 3,5,Athlete,Edyta Sliwinska,42,4.666666666666667,3,0,1,0.11570247933884299,6.0,,2.3360160965794767,0.5531548865051819
1,2,Joey McIntyre,3rd Place,3,Singer/Rapper,Ashly DelGrosso,32,7.0,99,0,2,0.1735537190082645,3.0,,3.0271629778672033,0.5518474684710774
1,2,John O'Hurley,2nd Place,2,Actor/Actress,Charlotte Jorgensen,50,8.666666666666666,99,0,2,0.21487603305785125,1.0,,3.5160965794768613,0.53056909773469
1,2,Kelly Monaco,1st Place,1,Actor/Actress,Alec Mazo,29,5.666666666666667,99,0,2,0.14049586776859507,5.0,,2.9285714285714284,0.5451883224652507
1,2,Rachel Hunter,Eliminated Week 4,4,Model,Jonathan Roberts,35,8.0,4,0,2,0.19834710743801656,2.0,,3.505030181086519,0.5516780909676047
1,2,Trista Sutter,Eliminated Week 2,6,TV Personality,Louis van Amstel,32,6.333333333333333,2,0,3,0.15702479338842976,4.0,,5.687122736418511,0.9099920853697796
1,3,Evander Holyfield,Eliminated Week 3,5,Athlete,Edyta Sliwinska,42,4.333333333333333,3,0,1,0.12264150943396228,5.0,,4.3086124401913874,0.8212471083524936
1,3,Joey McIntyre,3rd Place,3,Singer/Rapper,Ashly DelGrosso,32,7.333333333333333,99,0,2,0.20754716981132076,3.0,,2.712918660287081,0.5294409840875843
1,3,John O'Hurley,2nd Place,2,Actor/Actress,Charlotte Jorgensen,50,8.0,99,0,2,0.22641509433962267,2.0,,2.949760765550239,0.5355263811349024
1,3,Kelly Monaco,1st Place,1,Actor/Actress,Alec Mazo,29,7.0,99,0,2,0.19811320754716985,4.0,,2.102870813397129,0.5500959491664021
1,3,Rachel Hunter,Eliminated Week 4,4,Model,Jonathan Roberts,35,8.666666666666666,4,0,2,0.24528301886792456,1.0,,2.925837320574163,0.5290838010655604
1,3,Trista Sutter,Eliminated Week 2,6,TV Personality,Louis van Amstel,32,,2,0,3,,,,,
1,4,Evander Holyfield,Eliminated Week 3,5,Athlete,Edyta Sliwinska,42,,3,0,1,,,,,
1,4,Joey McIntyre,3rd Place,3,Singer/Rapper,Ashly DelGrosso,32,6.666666666666667,99,0,2,0.2173913043478261,4.0,,1.4814814814814814,0.684057668308385
1,4,John O'Hurley,2nd Place,2,Actor/Actress,Charlotte Jorgensen,50,7.0,99,0,2,0.2282608695652174,3.0,,2.2114695340501793,0.640622096780569
1,4,Kelly Monaco,1st Place,1,Actor/Actress,Alec Mazo,29,8.666666666666666,99,0,2,0.2826086956521739,1.0,,2.3070489844683393,0.6644294632197968
1,4,Rachel Hunter,Eliminated Week 4,4,Model,Jonathan Roberts,35,8.333333333333334,4,0,2,0.27173913043478265,2.0,,4.0,1.0
1,4,Trista Sutter,Eliminated Week 2,6,TV Personality,Louis van Amstel,32,,2,0,3,,,,,
1,5,Evander Holyfield,Eliminated Week 3,5,Athlete,Edyta Sliwinska,42,,3,0,1,,,,,
1,5,Joey McIntyre,3rd Place,3,Singer/Rapper,Ashly DelGrosso,32,7.5,99,0,2,0.3082191780821918,3.0,,,
1,5,John O'Hurley,2nd Place,2,Actor/Actress,Charlotte Jorgensen,50,9.0,99,0,2,0.36986301369863017,1.0,,,
1,5,Kelly Monaco,1st Place,1,Actor/Actress,Alec Mazo,29,7.833333333333333,99,0,2,0.3219178082191781,2.0,,,
1,5,Rachel Hunter,Eliminated Week 4,4,Model,Jonathan Roberts,35,,4,0,2,,,,,
1,5,Trista Sutter,Eliminated Week 2,6,TV Personality,Louis van Amstel,32,,2,0,3,,,,,
1,6,Evander Holyfield,Eliminated Week 3,5,Athlete,Edyta Sliwinska,42,,3,0,1,,,,,
1,6,Joey McIntyre,3rd Place,3,Singer/Rapper,Ashly DelGrosso,32,,99,0,2,,,,,
1,6,John O'Hurley,2nd Place,2,Actor/Actress,Charlotte Jorgensen,50,9.0,99,0,2,0.49541284403669733,2.0,,,
1,6,Kelly Monaco,1st Place,1,Actor/Actress,Alec Mazo,29,9.166666666666666,99,0,2,0.5045871559633028,1.0,,,
1,6,Rachel Hunter,Eliminated Week 4,4,Model,Jonathan Roberts,35,,4,0,2,,,,,
1,6,Trista Sutter,Eliminated Week 2,6,TV Personality,Louis van Amstel,32,,2,0,3,,,,,
1,7,Evander Holyfield,Eliminated Week 3,5,Athlete,Edyta Sliwinska,42,,3,0,1,,,,,
1,7,Joey McIntyre,3rd Place,3,Singer/Rapper,Ashly DelGrosso,32,,99,0,2,,,,,
1,7,John O'Hurley,2nd Place,2,Actor/Actress,Charlotte Jorgensen,50,,99,0,2,,,,,
1,7,Kelly Monaco,1st Place,1,Actor/Actress,Alec Mazo,29,,99,0,2,,,,,
1,7,Rachel Hunter,Eliminated Week 4,4,Model,Jonathan Roberts,35,,4,0,2,,,,,
1,7,Trista Sutter,Eliminated Week 2,6,TV Personality,Louis van Amstel,32,,2,0,3,,,,,
1,8,Evander Holyfield,Eliminated Week 3,5,Athlete,Edyta Sliwinska,42,,3,0,1,,,,,
1,8,Joey McIntyre,3rd Place,3,Singer/Rapper,Ashly DelGrosso,32,,99,0,2,,,,,
1,8,John O'Hurley,2nd Place,2,Actor/Actress,Charlotte Jorgensen,50,,99,0,2,,,,,
1,8,Kelly Monaco,1st Place,1,Actor/Actress,Alec Mazo,29,,99,0,2,,,,,
1,8,Rachel Hunter,Eliminated Week 4,4,Model,Jonathan Roberts,35,,4,0,2,,,,,
1,8,Trista Sutter,Eliminated Week 2,6,TV Personality,Louis van Amstel,32,,2,0,3,,,,,
1,9,Evander Holyfield,Eliminated Week 3,5,Athlete,Edyta Sliwinska,42,,3,0,1,,,,,
1,9,Joey McIntyre,3rd Place,3,Singer/Rapper,Ashly DelGrosso,32,,99,0,2,,,,,
1,9,John O'Hurley,2nd Place,2,Actor/Actress,Charlotte Jorgensen,50,,99,0,2,,,,,
1,9,Kelly Monaco,1st Place,1,Actor/Actress,Alec Mazo,29,,99,0,2,,,,,
1,9,Rachel Hunter,Eliminated Week 4,4,Model,Jonathan Roberts,35,,4,0,2,,,,,
1,9,Trista Sutter,Eliminated Week 2,6,TV Personality,Louis van Amstel,32,,2,0,3,,,,,
1,10,Evander Holyfield,Eliminated Week 3,5,Athlete,Edyta Sliwinska,42,,3,0,1,,,,,
1,10,Joey McIntyre,3rd Place,3,Singer/Rapper,Ashly DelGrosso,32,,99,0,2,,,,,
1,10,John O'Hurley,2nd Place,2,Actor/Actress,Charlotte Jorgensen,50,,99,0,2,,,,,
1,10,Kelly Monaco,1st Place,1,Actor/Actress,Alec Mazo,29,,99,0,2,,,,,
1,10,Rachel Hunter,Eliminated Week 4,4,Model,Jonathan Roberts,35,,4,0,2,,,,,
1,10,Trista Sutter,Eliminated Week 2,6,TV Personality,Louis van Amstel,32,,2,0,3,,,,,
1,11,Evander Holyfield,Eliminated Week 3,5,Athlete,Edyta Sliwinska,42,,3,0,1,,,,,
1,11,Joey McIntyre,3rd Place,3,Singer/Rapper,Ashly DelGrosso,32,,99,0,2,,,,,
1,11,John O'Hurley,2nd Place,2,Actor/Actress,Charlotte Jorgensen,50,,99,0,2,,,,,
1,11,Kelly Monaco,1st Place,1,Actor/Actress,Alec Mazo,29,,99,0,2,,,,,
1,11,Rachel Hunter,Eliminated Week 4,4,Model,Jonathan Roberts,35,,4,0,2,,,,,
1,11,Trista Sutter,Eliminated Week 2,6,TV Personality,Louis van Amstel,32,,2,0,3,,,,,
2,1,Drew Lachey,1st Place,1,Singer/Rapper,Cheryl Burke,29,8.0,99,0,2,0.12307692307692308,1.0,,5.373965387509406,0.4700240533968688
2,1,George Hamilton,Eliminated Week 6,5,Actor/Actress,Edyta Sliwinska,66,6.0,6,0,2,0.09230769230769231,8.0,,4.433408577878104,0.48067525241853193
