season,week,actual_elim,method_a_elim,method_b_elim,method_c_elim
1,2,Trista Sutter,Evander Holyfield,Trista Sutter,Kelly Monaco
1,3,Evander Holyfield,Kelly Monaco,Evander Holyfield,Evander Holyfield
1,4,Rachel Hunter,Joey McIntyre,John O'Hurley,John O'Hurley
2,1,Kenny Mayne,Master P,Kenny Mayne,Kenny Mayne
2,2,Tatum O'Neal,Master P,Tatum O'Neal,Tatum O'Neal
2,3,Giselle Fernandez,Master P,Giselle Fernandez,Giselle Fernandez
2,4,Master P,George Hamilton,Master P,Master P
2,5,Tia Carrere,Jerry Rice,Tia Carrere,Tia Carrere
2,6,George Hamilton,Lisa Rinna,George Hamilton,George Hamilton
2,7,Lisa Rinna,Jerry Rice,Lisa Rinna,Jerry Rice
3,1,Tucker Carlson,Tucker Carlson,Tucker Carlson,Tucker Carlson
3,2,Shanna Moakler,Shanna Moakler,Shanna Moakler,Shanna Moakler
3,3,Harry Hamlin,Harry Hamlin,Harry Hamlin,Harry Hamlin
3,4,Vivica A. Fox,Vivica A. Fox,Vivica A. Fox,Vivica A. Fox
3,5,Willa Ford,Sara Evans,Willa Ford,Sara Evans
3,7,Jerry Springer,Jerry Springer,Jerry Springer,Jerry Springer
3,8,Monique Coleman,Monique Coleman,Monique Coleman,Monique Coleman
4,2,Paulina Porizkova,Paulina Porizkova,Paulina Porizkova,Paulina Porizkova
4,3,Shandi Finnessey,Shandi Finnessey,Shandi Finnessey,John Ratzenberger
4,4,Leeza Gibbons,Leeza Gibbons,Leeza Gibbons,Leeza Gibbons
4,5,Clyde Drexler,Clyde Drexler,Clyde Drexler,Clyde Drexler
4,6,Heather Mills,Heather Mills,Heather Mills,Billy Ray Cyrus
4,7,John Ratzenberger,John Ratzenberger,John Ratzenberger,Billy Ray Cyrus
4,8,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus
4,9,Ian Ziering,Ian Ziering,Ian Ziering,Ian Ziering
5,1,Josie Maran,Josie Maran,Josie Maran,Josie Maran
5,2,Albert Reed,Albert Reed,Albert Reed,Albert Reed
5,3,Wayne Newton,Wayne Newton,Wayne Newton,Wayne Newton
5,4,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,Floyd Mayweather Jr. 
5,5,Mark Cuban,Mark Cuban,Mark Cuban,Mark Cuban
5,6,Sabrina Bryan,Sabrina Bryan,Sabrina Bryan,Sabrina Bryan
5,7,Jane Seymour,Jane Seymour,Jane Seymour,Jane Seymour
5,8,Cameron Mathison,Cameron Mathison,Cameron Mathison,Jennie Garth
5,9,Jennie Garth,Jennie Garth,Jennie Garth,Marie Osmond
6,2,Monica Seles,Monica Seles,Monica Seles,Monica Seles
6,3,Steve Guttenberg,Steve Guttenberg,Steve Guttenberg,Steve Guttenberg
6,4,Adam Carolla,Adam Carolla,Adam Carolla,Adam Carolla
6,5,Priscilla Presley,Priscilla Presley,Priscilla Presley,Priscilla Presley
6,6,Marlee Matlin,Marlee Matlin,Marlee Matlin,Marlee Matlin
6,7,Shannon Elizabeth,Shannon Elizabeth,Shannon Elizabeth,Cristian de la Fuente
6,8,Mario,Mario,Mario,Jason Taylor
