season,week,elim_actual,elim_sim,elim_actual_j_rank,elim_sim_j_rank,save_triggered,w_j,w_v
1,1,Evander Holyfield,Evander Holyfield,4.0,4.0,True,0.35,0.65
1,2,Evander Holyfield,Evander Holyfield,6.0,6.0,True,0.35,0.65
1,3,Evander Holyfield,Kelly Monaco,5.0,4.0,False,0.4633409963298751,0.5366590036701249
1,4,Evander Holyfield,Joey McIntyre,,4.0,False,0.35,0.65
1,5,Evander Holyfield,Evander Holyfield,,,False,0.35,0.65
1,6,Evander Holyfield,Evander Holyfield,,,False,0.35,0.65
2,1,George Hamilton,Master P,8.0,10.0,True,0.5144689777152794,0.48553102228472056
2,2,George Hamilton,Master P,5.0,9.0,True,0.4278390584057371,0.5721609415942629
2,3,George Hamilton,Master P,5.0,8.0,True,0.35,0.65
2,4,George Hamilton,Master P,6.0,7.0,True,0.65,0.35
2,5,George Hamilton,Jerry Rice,4.0,5.0,False,0.35,0.65
2,6,George Hamilton,Jerry Rice,4.0,4.0,True,0.35,0.65
2,7,George Hamilton,Jerry Rice,,4.0,True,0.35,0.65
2,8,George Hamilton,Drew Lachey,,1.0,False,0.35,0.65
3,1,Harry Hamlin,Tucker Carlson,8.0,11.0,True,0.35,0.65
3,2,Harry Hamlin,Shanna Moakler,7.0,6.0,False,0.35,0.65
3,3,Harry Hamlin,Emmitt Smith,4.0,9.0,True,0.35,0.65
3,4,Harry Hamlin,Sara Evans,,8.0,True,0.35,0.65
3,5,Harry Hamlin,Sara Evans,,6.0,True,0.35,0.65
3,6,Harry Hamlin,Emmitt Smith,,2.0,False,0.35,0.65
3,7,Harry Hamlin,Jerry Springer,,5.0,True,0.35,0.65
3,8,Harry Hamlin,Monique Coleman,,4.0,True,0.35,0.65
3,9,Harry Hamlin,Emmitt Smith,,1.0,False,0.35,0.65
3,10,Harry Hamlin,Emmitt Smith,,1.0,False,0.35,0.65
4,1,Billy Ray Cyrus,Billy Ray Cyrus,11.0,11.0,True,0.35,0.65
4,2,Billy Ray Cyrus,Clyde Drexler,6.0,11.0,True,0.35,0.65
4,3,Billy Ray Cyrus,Clyde Drexler,6.0,10.0,True,0.35,0.65
4,4,Billy Ray Cyrus,Leeza Gibbons,5.0,7.0,False,0.35,0.65
4,5,Billy Ray Cyrus,Clyde Drexler,7.0,8.0,True,0.3838933286295487,0.6161066713704513
4,6,Billy Ray Cyrus,John Ratzenberger,6.0,7.0,True,0.35,0.65
4,7,Billy Ray Cyrus,Billy Ray Cyrus,6.0,6.0,True,0.35,0.65
4,8,Billy Ray Cyrus,Billy Ray Cyrus,5.0,5.0,True,0.35,0.65
4,9,Billy Ray Cyrus,Ian Ziering,,4.0,True,0.35,0.65
4,10,Billy Ray Cyrus,Apolo Anton Ohno,,1.0,False,0.35,0.65
5,1,Albert Reed,Josie Maran,5.0,12.0,True,0.35,0.65
5,2,Albert Reed,Wayne Newton,5.0,11.0,True,0.35,0.65
5,3,Albert Reed,Wayne Newton,,10.0,True,0.35,0.65
